"bill_id","govtrack_id","sponsor_title"
hjres669-100,403695,Rep
s2552-109,300071,Sen
hr4762-112,400291,Rep
s2523-96,406918,Sen
hr14136-95,409575,Rep
s1713-102,300048,Sen
s2646-94,401391,Sen
s2427-109,300007,Sen
hr7961-94,402160,Rep
hr1808-112,412231,Rep
hr52-108,400083,Rep
s2282-100,300082,Sen
hr5473-102,400083,Rep
s394-97,406918,Sen
s1244-94,401391,Sen
hres1573-111,412308,Rep
hr400-96,404880,Rep
s1270-101,300071,Sen
s106-96,405252,Sen
hr1687-106,400368,Rep
sres531-115,412549,Sen
hr4068-104,400504,Rep
s139-102,300031,Sen
hr5509-97,401819,Rep
s673-104,406188,Sen
hr12311-94,404297,Rep
hr2903-109,400012,Rep
hr3469-96,401274,Rep
hconres354-102,400191,Rep
hr3965-107,400382,Rep
sres116-104,300031,Sen
hjres717-95,300057,Rep
sres566-96,405252,Sen
hr1840-112,400655,Rep
hr3126-100,407564,Rep
hres245-115,412729,Rep
s1407-112,300091,Sen
s998-115,412549,Sen
hr2042-114,400431,Rep.
hr3864-110,400058,Rep
s1892-103,300071,Sen
s1657-102,300061,Sen
hr5884-96,401274,Rep
hr10815-95,402160,Rep
sconres81-105,400558,Sen
hr5354-98,411025,Rep
hr1174-105,400226,Rep
hr7578-96,300048,Rep
hr5281-103,400382,Rep
sres283-111,300082,Sen
hr11944-95,400504,Rep
sres280-114,400418,Sen.
s2449-102,300071,Sen
hres123-99,403695,Rep
s3305-114,300048,Sen.
s1080-111,300071,Sen
hr1559-100,406799,Rep
s1851-108,300075,Sen
hr7152-94,410186,Rep
s1323-111,400418,Sen
hr348-105,400504,Rep
hr5650-113,412411,Rep
hres571-113,400158,Rep
hres42-101,403695,Rep
hr1759-97,407783,Rep
s202-113,300048,Sen
hr5670-107,400188,Rep
hjres130-115,412712,Rep
hres262-97,300031,Rep
hr2-115,400655,Rep
hconres68-103,400322,Rep
s325-108,300048,Sen
s1886-101,406188,Sen
hr9088-94,401274,Rep
hr4700-112,400158,Rep
s771-102,300061,Sen
hres104-109,400083,Rep
hr4519-100,411025,Rep
hr5372-96,401273,Rep
hconres17-114,400655,Rep.
s1615-111,300091,Sen
hjres590-97,407783,Rep
s1320-102,300061,Sen
hr4050-106,400418,Rep
hr5600-113,400158,Rep
s5-112,300082,Sen
hres30-105,400382,Rep
hr4164-97,411025,Rep
s103-112,400418,Sen
sres410-108,300045,Sen
hr2126-110,412234,Rep
hr2753-114,412623,Rep.
hr4010-99,406740,Rep
s3726-109,300085,Sen
s2074-103,300071,Sen
hconres224-107,400121,Rep
hr4164-115,412308,Rep
hr4513-117,456808,Rep.
hr865-111,400043,Rep
hr1668-115,412623,Rep
s55-97,405252,Sen
s2471-105,400558,Sen
hconres663-95,300057,Rep
hr3675-110,400191,Rep
hr2929-101,407960,Rep
s145-117,412549,Sen.
hr4958-96,300091,Rep
hr1505-117,412521,Rep.
hr1788-108,400082,Rep
s951-107,300091,Sen
sres562-110,300075,Sen
hr15791-94,411025,Rep
hr1441-96,400333,Rep
sres21-108,300031,Sen
hr13505-95,410142,Rep
hr2843-101,411025,Rep
hres699-94,401238,Rep
sjres87-96,410421,Sen
hconres125-96,401273,Rep
s3020-111,300091,Sen
s81-109,300029,Sen
hr1818-101,407960,Rep
sconres1-107,300031,Sen
s322-110,300037,Sen
s1638-108,300048,Sen
s187-104,300071,Sen
s644-101,300071,Sen
hconres357-95,400333,Rep
hr6086-109,400400,Rep
s932-115,412549,Sen
s866-107,300082,Sen
hr10816-95,402160,Rep
hjres12-107,400121,Rep
hr2695-93,405962,Rep
hr65-108,400121,Rep
hr6287-109,400174,Rep
hres899-111,412219,Rep
s863-112,300091,Sen
s815-112,300091,Sen
s512-101,406188,Sen
sres490-109,300045,Sen
hr846-114,412308,Rep.
s2872-99,406188,Sen
hr2073-100,300091,Rep
hr1521-95,407485,Rep
hconres669-95,300057,Rep
s363-114,300048,Sen.
s3037-107,300057,Sen
hr3525-97,300031,Rep
hr4609-102,300085,Rep
hr1749-96,403178,Rep
hr4630-110,400158,Rep
s2562-109,300029,Sen
s900-93,401391,Sen
sres226-105,300091,Sen
hr15597-94,405303,Rep
hr988-117,412463,Rep.
hjres634-94,401322,Rep
hjres300-99,402114,Rep
sjres122-102,300048,Sen
hr6234-111,400443,Rep
hr3382-100,300091,Rep
hr2994-97,300057,Rep
s2470-110,300048,Sen
s86-111,400418,Sen
hr4175-104,400594,Rep
hr1846-102,400015,Rep
hres702-113,400655,Rep
hr1149-113,400431,Rep
hr311-107,400418,Rep
hr13557-93,400333,Rep
hconres33-117,412195,Rep.
s293-95,405969,Sen
hr1102-99,300091,Rep
hr5806-97,401274,Rep
hr5614-115,412712,Rep
hr5238-108,400368,Rep
sres100-109,300037,Sen
s2924-99,300159,Sen
s461-93,401391,Sen
hr2473-111,412254,Rep
s1824-98,300048,Sen
hres1373-111,412231,Rep
hr10469-95,410186,Rep
hr7155-95,300057,Rep
s1583-101,401391,Sen
hr500-117,412702,Rep.
s843-109,300085,Sen
sres354-111,300082,Sen
s411-111,300007,Sen
hr2760-106,400188,Rep
s2500-99,300159,Sen
s976-106,300045,Sen
s2347-99,401391,Sen
hr2674-93,404297,Rep
hr2446-105,400374,Rep
hr5070-109,400333,Rep
hr697-116,412702,Rep
hr1325-107,400431,Rep
hr4916-113,400647,Rep
hr5656-96,407783,Rep
s3138-96,401391,Sen
hr8946-94,408065,Rep
hr574-110,400431,Rep
hr6857-94,401819,Rep
hres54-107,400507,Rep
sres66-102,406188,Sen
hr932-100,406740,Rep
hr14885-94,400680,Rep
s3125-94,406918,Sen
s1691-109,300029,Sen
s3442-109,300082,Sen
hr2836-106,400418,Rep
hr65-116,412702,Rep
s729-103,300082,Sen
hr2366-114,412427,Rep.
hr11995-95,300057,Rep
sres315-113,300082,Sen
s149-106,300061,Sen
s404-109,300082,Sen
hr2984-99,410010,Rep
sres105-109,300075,Sen
hr3577-93,407756,Rep
sres289-108,300037,Sen
s3036-107,300031,Sen
hr5394-112,400158,Rep
hr950-99,400333,Rep
hr8254-94,401034,Rep
hr924-103,400015,Rep
hr4347-103,400382,Rep
hr10089-95,400333,Rep
hr4541-105,400188,Rep
hr16330-93,407756,Rep
hr4804-102,400015,Rep
s543-109,300091,Sen
hr153-97,401819,Rep
hres179-99,407960,Rep
hr5833-113,400058,Rep
s2666-106,300082,Sen
hr2969-113,400400,Rep
hr10124-94,401322,Rep
hr6544-116,400271,Rep
hres720-110,412195,Rep
hr12228-93,402160,Rep
s355-105,300159,Sen
hr1457-96,400333,Rep
hres253-114,400158,Rep.
hr9835-94,410186,Rep
hr22-98,300057,Rep
hres122-105,400012,Rep
s922-103,407992,Sen
s146-104,300159,Sen
s3038-102,300061,Sen
hr912-103,400316,Rep
hr7818-94,300048,Rep
hr5198-117,412713,Rep.
s340-111,300048,Sen
s106-106,300091,Sen
hr4737-106,400191,Rep
hjres379-93,401737,Rep
hr3493-107,400191,Rep
sconres72-108,300031,Sen
s970-102,300048,Sen
hr1902-110,400350,Rep
s374-104,300061,Sen
hconres60-114,412195,Rep.
s1092-102,406188,Sen
hr2290-105,400370,Rep
hr5808-112,400082,Rep
hr5531-117,456819,Rep.
hjres312-96,411296,Rep
s1492-115,300075,Sen
s3103-95,405969,Sen
hr225-93,400680,Rep
hr14523-94,409575,Rep
hjres18-106,400504,Rep
hr5997-117,412842,Rep.
hr3670-97,300031,Rep
sres162-102,300048,Sen
s1598-101,401709,Sen
hr4258-108,400410,Rep
hr345-105,400504,Rep
hr4049-100,406740,Rep
hr796-99,405646,Rep
s1619-102,300071,Sen
s246-110,300091,Sen
hr4527-95,410969,Rep
sconres19-113,300082,Sen
hr4389-106,400507,Rep
hr872-108,400058,Rep
hr1867-114,412195,Rep.
s131-108,300082,Sen
hr2850-96,407783,Rep
s1552-110,300075,Sen
hres70-104,400571,Rep
hres757-116,400350,Rep
hr3060-108,400382,Rep
hr4040-110,400350,Rep
hconres138-100,300037,Rep
hr809-115,412411,Rep
s1990-103,300057,Sen
s301-111,300048,Sen
hr4689-100,411025,Rep
hr588-104,400291,Rep
s66-97,405252,Sen
s1174-96,410421,Sen
hres94-95,404880,Rep
hr2307-94,403178,Rep
hr5826-116,400291,Rep
hr1311-103,400012,Rep
sres268-103,300029,Sen
hr1097-97,405496,Rep
s2424-102,300071,Sen
s2434-105,300048,Sen
hjres62-103,408839,Rep
hr4007-96,401819,Rep
hr322-117,412702,Rep.
s133-116,300075,Sen
hr1707-112,400350,Rep
s784-102,401709,Sen
hr1454-102,300037,Rep
hr5138-99,406740,Rep
hr4185-103,402762,Rep
hr8546-93,400680,Rep
hres656-115,412713,Rep
sres500-97,405252,Sen
s2313-102,300057,Sen
s1476-103,300029,Sen
sconres82-107,300007,Sen
hr2437-101,400043,Rep
s252-109,300082,Sen
sres9-110,300082,Sen
s2420-115,412549,Sen
sres8-108,300045,Sen
s2141-112,300048,Sen
hjres71-114,400431,Rep.
sres391-106,300031,Sen
hr3745-108,400370,Rep
s1020-105,300057,Sen
hr3663-100,400333,Rep
hr10888-93,404365,Rep
hr5763-111,412308,Rep
hr4530-114,412308,Rep.
hjres271-99,405646,Rep
s1426-95,405969,Sen
hr1062-103,300085,Rep
hr1034-108,400384,Rep
hr2720-117,412712,Rep.
hconres7-112,400121,Rep
sres632-109,300007,Sen
s2474-97,401391,Sen
s220-110,300029,Sen
s1609-113,300075,Sen
hr2417-104,400174,Rep
s293-109,300075,Sen
hr1105-108,400370,Rep
hr2478-96,410186,Rep
hr398-96,404880,Rep
s1927-105,407992,Sen
hr1163-105,400174,Rep
hr2427-106,400083,Rep
sres279-93,405969,Sen
s146-111,300061,Sen
s3089-102,406188,Sen
s2316-101,401709,Sen
hr8294-93,411479,Rep
s3117-110,400418,Sen
hr3874-106,400333,Rep
hr905-105,400128,Rep
s519-107,300045,Sen
hconres585-93,401034,Rep
hr1264-96,410186,Rep
hr4853-110,400012,Rep
hconres177-107,400384,Rep
hr6914-93,405179,Rep
s1335-108,300048,Sen
hr1897-114,412623,Rep.
hr2856-109,400291,Rep
hr4043-103,404067,Rep
hr2396-103,300091,Rep
s860-101,300031,Sen
hr13053-95,405646,Rep
sres452-114,300048,Sen.
s3604-111,300091,Sen
s284-102,401709,Sen
hr2679-99,411025,Rep
hr84-106,400518,Rep
hr2387-115,412308,Rep
hr5722-111,412274,Rep
hres904-116,400291,Rep
sres391-113,300082,Sen
hres78-104,400504,Rep
hr4778-95,410821,Rep
hr2925-108,400014,Rep
hr2864-104,400188,Rep
hjres332-100,400174,Rep
hr1610-99,300037,Rep
hr902-106,400518,Rep
hr1921-115,412702,Rep
hr3929-104,400504,Rep
hr1360-117,400271,Rep.
s1165-100,401709,Sen
hr6410-97,400333,Rep
hr17488-93,407756,Rep
hr2374-101,400333,Rep
sres442-112,412320,Sen
s274-108,300048,Sen
sres16-113,300082,Sen
hr30-117,400350,Rep.
hr5925-115,412473,Rep
hr12043-94,401819,Rep
hr1959-105,400431,Rep
sres27-96,410421,Sen
hr4645-109,400647,Rep
hjres140-115,412195,Rep
sres215-117,300048,Sen.
s4861-116,300048,Sen
hr175-94,400680,Rep
hr169-94,400680,Rep
hr3961-115,412695,Rep
